Lexeme                    Token type      Row   Column Id   
=========================================================
:                         colon           38    36    P:8  
fmt                       ident           39    4     N:26 
.                         dot             39    7     P:6  
Println                   ident           39    8     N:27 
(                         lpar            39    15    P:1  
"Вы купили весь товар!" string          39    16    N:33 
)                         rpar            39    56    P:2  
default                   default         41    3     K:12 
:                         colon           41    10    P:8  
product                   ident           42    4     N:6  
.                         dot             42    11    P:6  
Quantity                  ident           42    12    N:19 
-=                        assignment      42    21    O:5  
quantity                  ident           42    24    N:15 
fmt                       ident           43    4     N:26 
.                         dot             43    7     P:6  
Printf                    ident           43    8     N:34 
(                         lpar            43    14    P:1  
"Вы купили %d шт. товара '%s'. Осталось: %d\n" string          43    15    N:35 
,                         comma           43    85    P:9  
quantity                  ident           43    87    N:15 
,                         comma           43    95    P:9  
name                      ident           43    97    N:12 
,                         comma           43    101   P:9  
product                   ident           43    103   N:6  
.                         dot             43    110   P:6  
Quantity                  ident           43    111   N:19 
)                         rpar            43    119   P:2  
}                         rbrace          44    2     P:7  
purchasedQuantities       ident           45    2     N:30 
=                         assignment      45    22    O:0  
append                    ident           45    24    N:36 
(                         lpar            45    30    P:1  
purchasedQuantities       ident           45    31    N:30 
,                         comma           45    50    P:9  
quantity                  ident           45    52    N:15 
)                         rpar            45    60    P:2  
if                        if              47    2     K:9  
quantity                  ident           47    5     N:15 
>                         comparison      47    14    O:6  
1                         integer         47    16    N:37 
{                         lbrace          47    18    P:3  
product                   ident           48    3     N:6  
.                         dot             48    10    P:6  
Quantity                  ident           48    11    N:19 
>                         comparison      48    20    O:6  
>                         comparison      48    21    O:6  
=                         assignment      48    22    O:0  
1                         integer         48    24    N:37 
fmt                       ident           49    3     N:26 
.                         dot             49    6     P:6  
Printf                    ident           49    7     N:34 
(                         lpar            49    13    P:1  
"Количество после сдвига: %d\n" string          49    14    N:38 
,                         comma           49    66    P:9  
product                   ident           49    68    N:6  
.                         dot             49    75    P:6  
Quantity                  ident           49    76    N:19 
)                         rpar            49    84    P:2  
}                         rbrace          50    2     P:7  
else                      else            50    4     K:13 
{                         lbrace          50    9     P:3  
product                   ident           51    3     N:6  
.                         dot             51    10    P:6  
Quantity                  ident           51    11    N:19 
-=                        assignment      51    20    O:5  
quantity                  ident           51    23    N:15 
}                         rbrace          52    2     P:7  
s                         ident           54    2     N:10 
.                         dot             54    3     P:6  
products                  ident           54    4     N:4  
[                         lbracket        54    12    P:4  
name                      ident           54    13    N:12 
]                         rbracket        54    17    P:5  
=                         assignment      54    19    O:0  
product                   ident           54    21    N:6  
fmt                       ident           57    2     N:26 
.                         dot             57    5     P:6  
Printf                    ident           57    6     N:34 
(                         lpar            57    12    P:1  
"Купленные количества: %v\n" string          57    13    N:39 
,                         comma           57    60    P:9  
purchasedQuantities       ident           57    62    N:30 
)                         rpar            57    81    P:2  
return                    return          59    2     K:6  
s                         ident           59    9     N:10 
,                         comma           59    10    P:9  
true                      ident           59    12    N:40 
}                         rbrace          60    1     P:7  
